id,title,developer,releaseYear,isFavorite,categories,consoleId,deviceType,region,peripheralId,authenticity,condition,purchasePrice,purchaseCurrency,acquisitionDate,coverUrl,gameplayPhotoUrl,realDevicePhotoUrl,createdAt,updatedAt
500,Super Mario Kart,Nintendo,1992,false,"[""PLATFORMER""]",2,CARTRIDGE,USA,,ORIGINAL,GOOD,,USD,,https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Super%20Mario%20Kart%20%28USA%29.png,https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Snaps/Super%20Mario%20Kart%20%28USA%29.png,,2026-05-23 19:49:29,2026-05-23 19:49:29
501,Super Mario Bros. 3,Nintendo,1988,false,"[""PLATFORMER""]",2,CARTRIDGE,USA,,ORIGINAL,GOOD,,USD,,https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Entertainment%20System/Named_Boxarts/Super%20Mario%20Bros.%203%20%28USA%29.png,https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Entertainment%20System/Named_Snaps/Super%20Mario%20Bros.%203%20%28USA%29.png,,2026-05-23 19:49:29,2026-05-23 19:49:29
502,Donkey Kong 64,Nintendo,1999,false,"[""PLATFORMER""]",1,CARTRIDGE,USA,,ORIGINAL,GOOD,,USD,,https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Nintendo%2064/Named_Boxarts/Donkey%20Kong%2064%20%28USA%29.png,https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Nintendo%2064/Named_Snaps/Donkey%20Kong%2064%20%28USA%29.png,,2026-05-23 19:49:29,2026-05-23 19:49:29
