id,title,developer,releaseYear,isFavorite,categories,consoleId,deviceType,region,peripheralId,authenticity,condition,purchasePrice,purchaseCurrency,acquisitionDate,coverUrl,gameplayPhotoUrl,realDevicePhotoUrl,createdAt,updatedAt
10,Home Alone 2: Lost in New York,Imagineering,1992,false,"[""ACTION""]",2,CARTRIDGE,USA,,BOOTLEG,POOR,,,,https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Home%20Alone%202%20-%20Lost%20in%20New%20York%20%28USA%29.png,https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Snaps/Home%20Alone%202%20-%20Lost%20in%20New%20York%20%28USA%29.png,,2026-05-23 23:18:45,2026-05-23 23:18:45
11,World League Soccer,,1991,false,"[""SPORTS""]",2,CARTRIDGE,USA,,ORIGINAL,POOR,,,,https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Dolucky%20no%20A.League%20Soccer%20%28Japan%29.png,https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Snaps/Dolucky%20no%20A.League%20Soccer%20%28Japan%29.png,,2026-05-23 23:18:45,2026-05-23 23:18:45
12,NHL Stanley Cup,Sculptured Software,1993,false,"[""SPORTS""]",2,CARTRIDGE,USA,,ORIGINAL,GOOD,,,,https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/NHL%20Stanley%20Cup%20%28USA%29.png,https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Snaps/NHL%20Stanley%20Cup%20%28USA%29.png,,2026-05-23 23:18:45,2026-05-23 23:18:45
13,Donkey Kong Country,Rare Ltd.,1994,false,"[""PLATFORMER""]",2,CARTRIDGE,USA,,BOOTLEG,GOOD,,,,https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Donkey%20Kong%20Country%20%28USA%29.png,https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Snaps/Donkey%20Kong%20Country%20%28USA%29.png,,2026-05-23 23:18:45,2026-05-23 23:18:45
14,NCAA Basketball,EA Vancouver,1998,false,"[""SPORTS""]",2,CARTRIDGE,USA,,ORIGINAL,GOOD,,,,https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Fighting%20Baseball%20%28Japan%29.png,https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Snaps/Fighting%20Baseball%20%28Japan%29.png,,2026-05-23 23:18:45,2026-05-23 23:18:45
15,The Magical Quest starring Mickey Mouse,Capcom,1992,false,[],2,CARTRIDGE,USA,,BOOTLEG,POOR,,,,https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/The%20Magical%20Quest%20Starring%20Mickey%20Mouse%20%28USA%29.png,https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Snaps/The%20Magical%20Quest%20Starring%20Mickey%20Mouse%20%28USA%29.png,,2026-05-23 23:18:45,2026-05-23 23:18:45
